"Case","Event","Activity","Timestamp","unixtime","Resource_Group","Resource","Resource_failure_rate","Resource_Anomaly.Normal","type_res_event","order","max","parameter_l","parameter","duration","type_res_case","type_res_len","type_res_trace","duration_prior","noeffect_len","resource_parameter_event","resource_parameter_case","is_trace_anomalous.resource.","variant_num"
"case_10000",40,"a","1970-01-01 09:00:00",32400,"Resource_Group5","Resource_Group5_res_4",0.01,0,"",1,10,NA,NA,3600,"normal",NA,"",0,0,"","",0,"var_588"
"case_10000",41,"b","1970-01-01 10:00:00",36000,"Resource_Group0","Resource_Group0_res_0",0.01,0,"",2,10,NA,NA,3600,"normal",NA,"",3600,0,"","",0,"var_588"
"case_10000",42,"c","1970-01-01 11:00:00",39600,"Resource_Group3","Resource_Group3_res_3",0.01,0,"",3,10,NA,NA,3600,"normal",NA,"",3600,0,"","",0,"var_588"
"case_10000",43,"d","1970-01-01 12:00:00",43200,"Resource_Group3","Resource_Group3_res_0",0.01,0,"",4,10,NA,NA,3600,"normal",NA,"",3600,0,"","",0,"var_588"
"case_10000",44,"e","1970-01-01 13:00:00",46800,"Resource_Group7","Resource_Group7_res_1",0.01,0,"",5,10,NA,NA,3600,"normal",NA,"",3600,0,"","",0,"var_588"
"case_10000",45,"f","1970-01-01 14:00:00",50400,"Resource_Group3","Resource_Group3_res_1",0.01,0,"",6,10,NA,NA,3600,"normal",NA,"",3600,0,"","",0,"var_588"
"case_10000",46,"g","1970-01-01 15:00:00",54000,"Resource_Group5","Resource_Group5_res_1",0.01,0,"",7,10,NA,NA,3600,"normal",NA,"",3600,0,"","",0,"var_588"
"case_10000",47,"h","1970-01-01 16:00:00",57600,"Resource_Group2","Resource_Group2_res_2",0.01,0,"",8,10,NA,NA,3600,"normal",NA,"",3600,0,"","",0,"var_588"
"case_10000",48,"i","1970-01-01 17:00:00",61200,"Resource_Group4","Resource_Group4_res_0",0.01,0,"",9,10,NA,NA,3600,"normal",NA,"",3600,0,"","",0,"var_588"
"case_10000",49,"j","1970-01-01 18:00:00",64800,"Resource_Group9","Resource_Group9_res_3",0.01,0,"",10,10,NA,NA,0,"normal",NA,"",3600,0,"","",0,"var_588"
"case_10003",69,"a","1970-01-01 09:00:00",32400,"Resource_Group5","Resource_Group5_res_3",0.01,0,"",1,10,NA,NA,3600,"normal",NA,"",0,0,"","",0,"var_588"
"case_10003",70,"b","1970-01-01 10:00:00",36000,"Resource_Group0","Resource_Group0_res_0",0.01,0,"",2,10,NA,NA,3600,"normal",NA,"",3600,0,"","",0,"var_588"
